,Unnamed: 0,id,title,release_date,revenue,runtime,adult,budget,overview,popularity,poster_path,genres,keywords,year,actors,emotions,director
663,663,76163,The Expendables 2,2012-08-08,314975955,103,False,100000000,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",59.833,/4EBO8aIeP2bF1jGpwbuRS4CFMca.jpg,"['Action', 'Adventure', 'Thriller']","airplane, loss of loved one, airplane crash, beard, wisecrack humor, airport lounge, asian woman",2012,"['Sylvester Stallone', 'Jason Statham', 'Jet Li', 'Dolph Lundgren', 'Chuck Norris', 'Jean-Claude Van Damme', 'Bruce Willis', 'Arnold Schwarzenegger', 'Terry Crews', 'Randy Couture', 'Liam Hemsworth', 'Scott Adkins', 'Yu Nan', 'Amanda Ooms', 'Charisma Carpenter', 'Nikolette Noel', 'George Zlatarev', 'Alexander Moskov', 'Nikola Dodov', 'Wenbo Li', 'Borislav Zahariev', 'Penka Kodova', 'Arkanay Boonsong', 'Dimo Alexiev', 'Velislav Pavlov', 'Liubomir Simeonov', 'Anton Trendafilov', 'Mariy Rosen', 'Julian Stanishkov', 'Velimir Velev', 'Irina Sophia Krichely', 'Lyudmila Slaneva', 'Silvia Petkova', 'Alexandra Spasova', 'Juliana Saiska', 'Sanya Borisova', 'Biliana Petrinska', 'Diana Dobreva', 'Aleksandar Belovski', 'Novak Djokovic', 'Nick Stanchev', 'Antoaneta Yordanova', 'Velizar Peev']","['teamwork', 'action']",Simon West
664,664,6479,I Am Legend,2007-12-12,585410052,101,False,150000000,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",59.815,/iPDkaSdKk2jRLTM65UOEoKtsIZ8.jpg,"['Drama', 'Science Fiction', 'Thriller']","new york city, saving the world, based on novel or book, dystopia, post-apocalyptic future, lost civilisation, infection, matter of life and death, alone, helplessness, loneliness, zombie, virus, pandemic, pets",2007,"['Will Smith', 'Alice Braga', 'Charlie Tahan', 'Dash Mihok', 'Salli Richardson-Whitfield', 'Willow Smith', 'Emma Thompson', 'Darrell Foster', 'Joanna Numata', 'Samuel Glen', 'Pedro Mojica', 'Marin Ireland', 'Alexander DiPersia', 'April Grace', 'James McCauley', 'Anthony C. Mazza', 'Steve Cirbus', 'Calista Hill', 'Gabriella Hill', 'Madeline Hill', 'Adhi Sharma', 'Tyree Michael Simpson', 'Blake Lange', 'Abraham Sparrow', 'Pat Fraley', 'Caitlin McHugh', 'Deborah Collins', 'Mike Patton', 'Katherine Brook', 'Vince Cupone', ""Lynna' Davis"", 'Anika Ellis', 'John Grady', 'Moses Harris Jr.', 'Kennis Hawkins', 'Marc Inniss', 'Eric Jenkins', 'Reed Kelly', 'Grasan Kingsberry', 'Drew Leary', 'Asa Liebmann', 'Deborah Lohse', 'Jon-Paul Mateo', 'Ian Mclaughlin', 'Luke Miller', 'Courtney Munch', 'Kimberly Shannon Murphy', 'Okwui Okpokwasili', 'Erin Owen', 'Victor Paguia', 'Paradox Pollack', 'Will Rawls', 'William Schultz', 'Hollie K. Seidel', 'Hannah Sim', 'Eric Spear', 'Mark Steger', 'Charlie Sutton', 'David Hamilton Thomson', 'Anthony Vincent', 'Greg Wattkis', 'Raul Torres']","['isolation', 'hope']",Francis Lawrence
665,665,857,Saving Private Ryan,1998-07-24,481840909,169,False,70000000,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",59.745,/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,"['Drama', 'History', 'War']","epic, army, airplane, self sacrifice, war veteran, war crimes, war ship, bravery, world war ii, normandy, france, parachute, troops, waffen ss, omaha beach, rescue mission, war memorial, cowardice, deserted town, based on true story, d-day, soldier, death, military, military operation, 1940s",1998,"['Tom Hanks', 'Tom Sizemore', 'Edward Burns', 'Barry Pepper', 'Adam Goldberg', 'Vin Diesel', 'Giovanni Ribisi', 'Jeremy Davies', 'Matt Damon', 'Ted Danson', 'Paul Giamatti', 'Dennis Farina', 'Joerg Stadler', 'Max Martini', 'Dylan Bruno', 'Daniel Cerqueira', 'Demetri Goritsas', 'Ian Porter', 'Gary Sefton', 'Julian Spencer', 'Steve Griffin', 'William Marsh', 'Marc Cass', 'Markus Napier', 'Neil Finnighan', 'Peter Miles', 'Paul Garcia', 'Seamus McQuade', 'Ronald Longridge', 'Adam Shaw', 'Rolf Saxon', 'Corey Johnson', 'Loclann Aiken', 'John Barnett', 'Maclean Burke', 'Victor Burke', 'Aiden Condron', 'Shashi Rami', 'Shane Hagan', 'Paul Hickey', 'Shane Johnson', 'Laird Macintosh', 'Brian Maynard', 'Martin McDougall', 'Mark Phillips', 'Lee Aaron Rosen', 'Andrew Scott', 'Matthew Sharp', 'Vincent Walsh', 'Grahame Wood', 'John Sharian', 'Glenn Wrage', 'Crofton Hardester', 'Martin Hub', 'Raffaello Degruttola', 'Nigel Whitmey', 'Sam Ellis', 'Erich Redman', 'Tilo Keiner', 'Stephan Grothgar', 'Stéphane Cornicard', 'Michelle Evans', 'Martin Beaton', 'Anna Maguire', 'Nathan Fillion', 'Leland Orser', 'Michael Mantas', 'David Vegh', 'Ryan Hurst', 'Nick Brooks', 'Sam Scudder', 'John Walters', 'Dorothy Grumbar', 'James Innes-Smith', 'Harve Presnell', 'Dale Dye', 'Bryan Cranston', 'David Wohl', 'Eric Loren', 'Valerie Colgan', 'Amanda Boxer', 'Harrison Young', 'Kathleen Byron', 'Rob Freeman', 'Thomas Gizbert', 'Nina Muschallik', 'Mac Steinmeier', 'Derek Lea', 'Leo Stransky', 'Vincent Ventresca']","['war', 'sacrifice']",Steven Spielberg
666,666,1267,Meet the Robinsons,2007-03-23,169332978,95,False,150000000,"Lewis, a brilliant young inventor, is keen on creating a time machine to find his mother, who abandoned him in an orphanage. Things take a turn when he meets Wilbur Robinson and his family.",59.733,/naya0zF4kT401Sx15AtwB9vpcJr.jpg,"['Animation', 'Comedy', 'Family']","future, friendship, flying car, saving the world, based on novel or book, tyrannosaurus rex, adoption, time travel, time machine, mythical creature, best friend, rescue team, family, wonder, witty",2007,"['Daniel Hansen', 'Jordan Fry', 'Wesley Singerman', 'Matthew Josten', 'Stephen J. Anderson', 'Tom Selleck', 'Tom Kenny', 'Laurie Metcalf', 'Angela Bassett', 'Nicole Sullivan', 'Harland Williams', 'John H. H. Ford', 'Don Hall', 'Paul Butcher', 'Tracey Miller-Zarneke', 'Jessie Flower', 'Ethan Sandler', 'Dara McGarry', 'Nathan Greno', 'Kelly Hoover', 'Adam West', 'Aurian Redson', 'Joseph Mateo', 'Joe Whyte', 'Cooper Cowgill', 'Cameron Covell', 'David Cowgill', 'Makenna Cowgill', 'Terri Douglas', 'Jackie Gonneau', 'Mick Hazen', ""Shannon O'Connor"", 'Jordan Orr', 'Lynwood Robinson', 'Grace Rolek', 'Greyson Spann', 'Krista Swan', 'Fred Tatasciore']","['family', 'innovation']",Stephen J. Anderson
667,667,35,The Simpsons Movie,2007-07-25,527068851,87,False,75000000,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",59.717,/s3b8TZWwmkYc2KoJ5zk77qB6PzY.jpg,"['Animation', 'Comedy', 'Family']","garbage, pollution, quarantine, environmental protection agency, parent child relationship, dysfunctional family, dysfunctional marriage, ecology, first love, duringcreditsstinger, based on tv series, lighthearted",2007,"['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright', 'Yeardley Smith', 'Hank Azaria', 'Harry Shearer', 'Pamela Hayden', 'Tress MacNeille', 'Albert Brooks', 'Karl Wiedergott', 'Marcia Wallace', 'Russi Taylor', 'Maggie Roswell', 'Phil Rosenthal', 'Billie Joe Armstrong', 'Mike Dirnt', 'Tré Cool', 'Joe Mantegna', 'Tom Hanks']","['humor', 'family']",David Silverman
668,668,924482,The Ledge,2022-02-18,0,86,False,2500000,"A rock climbing adventure between two friends turns into a terrifying nightmare. After Kelly captures the murder of her best friend on camera, she becomes the next target of a tight knit group of friends who will stop at nothing to destroy the evidence and anyone in their way.",59.681,/S99eCSnRFfeZJmDaIGIZF58H7w.jpg,"['Thriller', 'Adventure']","italy, mountain, fractured leg, murder, person on fire, trapped, mountain climbing, ledge, free climbing, fall from height, lost girl",2022,"['Brittany Ashworth', 'Nathan Welsh', 'Anaïs Parello', 'Louis Boyer', 'Ben Lamb', 'David Wayman']","['survival', 'suspense']",Howard J. Ford
669,669,56292,Mission: Impossible - Ghost Protocol,2011-12-07,694713380,133,False,145000000,"Ethan Hunt and his team are racing against time to track down a dangerous terrorist named Hendricks, who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",59.649,/psiWp3VTjznfokmGQG9uqiiknQQ.jpg,"['Action', 'Thriller', 'Adventure']","assassin, budapest, hungary, skyscraper, secret intelligence service, sandstorm, seattle, washington, satellite, mumbai (bombay), india, secret agent, car crash, sequel, prison escape, dubai, billionaire, terrorism, disguise, bombing, jet, nuclear threat, moscow, russia, field agent, analyst, nuclear submarine, kremlin, disavowed, based on tv series, nuclear launch codes, burj khalifa, scaling a building",2011,"['Tom Cruise', 'Paula Patton', 'Simon Pegg', 'Jeremy Renner', 'Michael Nyqvist', 'Vladimir Mashkov', 'Samuli Edelmann', 'Ivan Shvedoff', 'Anil Kapoor', 'Léa Seydoux', 'Josh Holloway', 'Pavel Kříž', 'Miraj Grbić', 'Ilia Volok', 'Goran Navojec', 'Pavel Bezděk', 'Ladislav Beran', 'Jan Filipenský', 'Jiří Kraus', 'Ales Putik', 'Tomáš Valík', 'Pavel Cajzl', 'Randy Hall', 'Vitaly Kravchenko', 'Andrej Bestchastny', 'Mike Dopud', 'Martin Hub', 'Ivo Novák', 'Anastasiya Novikova', 'Marek Dobeš', 'Claudia Vašeková', 'Brian Caspe', 'Petra Lustigová', 'Daniel Clarke', 'April Stewart', 'Gina Hirsch', 'Ghaleb El Saadi', 'Andreas Wisniewski', 'Mustafa Alyassri', 'Michael Rys', 'Dmitry Chepovetsky', 'Dawn Chubai', 'Nicola Anderson', 'Keith Dallas', 'Tammy Hui', 'David Stuart', 'Sabrina Morris', 'Michelle Monaghan', 'Ving Rhames', 'Tom Wilkinson', 'Jessica Belkin', 'Paul Lazenby', 'Stephen Lobo', 'Roger Narayan', 'Ali Olomi', 'Mihály Szabados', 'Darren Shahlavi', 'Teddy Newton']","['action', 'strategy']",Brad Bird
670,670,753012,Outing 3,2020-09-25,0,71,False,0,"Eun-young, who is lonely with no lover, is Hyojin, a studio junior. When you hear that you have a lover, ask for an introduction. Hyojin introduces her lover Kyuhyun to Eunyoung on the way to work. Kyuhyun is a lover who broke up three years ago. Kyuhyun secretly begs Eunyoung to come back to Hyojin, but Eun-young is married. We meet again with Kyuhyun's endless courtship. Hyojin gets caught. Eun-young, who sees the scene of her husband's cheating, goes to Kyu-hyun.",59.63,/t2TwdmX3Cy2LY8zCxiIMymjGipl.jpg,"['Drama', 'Romance']",softcore,2020,"['Sae Bom', 'Han Yi-seul', 'Lee Sul-ah', 'Cheon Yoo-ji', 'Min Do-yoon', 'Kang Min-woo']","['desire', 'comedy']",Jaeeun Koo
671,671,425909,Ghostbusters: Afterlife,2021-11-11,191000000,124,False,75000000,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",59.556,/ggcBBYgnwrRAdx2vTthSAZDfrrk.jpg,"['Fantasy', 'Comedy', 'Adventure']","small town, afterlife, ghostbuster, nostalgia, sequel, ghost, aftercreditsstinger, duringcreditsstinger, dead grandfather, ancient evil, otherworldly beings, paranormal events, father absence, ghostbusters",2021,"['Mckenna Grace', 'Finn Wolfhard', 'Carrie Coon', 'Bokeem Woodbine', 'Paul Rudd', 'Logan Kim', ""Celeste O'Connor"", 'Bill Murray', 'Dan Aykroyd', 'Ernie Hudson', 'Annie Potts', 'Sigourney Weaver', 'Bob Gunton', 'J.K. Simmons', 'Shawn Seward', 'Billy Bryk', 'Sydney Mae Díaz', 'Hannah Duke', 'Paulina Alexis', 'Marlon Kazadi', 'Chiara Petersen', 'Danielle Kennedy', 'Artoun Nazareth', 'Crystal Roseborough', 'Dusan Rokvic', 'Emma Portner', 'Stella Aykroyd', 'Kim Faires', 'Josh Gad', 'Shohreh Aghdashloo', 'Tracy Letts', 'Olivia Wilde', 'Harold Ramis', 'Oliver Cooper', 'CJ Collard', 'Bud Klasky', 'Faith Louissaint', ""Daniel D'Angelo Sparks"", 'Ira Heiden', 'Sarah Natochenny']","['legacy', 'family']",Jason Reitman
673,673,407655,A Cinderella Story: If the Shoe Fits,2016-08-02,0,92,False,0,A contemporary musical version of the classic Cinderella story in which the servant step daughter hope to compete in a musical competition for a famous pop star.,59.386,/qtxOA6Sb8lK1PfRiwduxYVuzaEv.jpg,"['Comedy', 'Family', 'Fantasy', 'Music']","dance, dancer, fairy tale, musical, celebrity, orphan, modern fairy tale",2016,"['Sofia Carson', 'Thomas Law', 'Jennifer Tilly', 'Jazzara Jaslyn', 'Nicole Fortuin', 'Amy Louise Wilson', 'Ashley de Lange', 'David Ury', 'Chloe Perling', 'Ally White', 'Carlo McFarlane', 'Sven Ruygrok', 'Ambrose Uren', 'Robyn Scott', 'Amelia Vernède', 'Melissa De Vries', 'Christopher Stein']","['dreams', 'romance']",
